year,product_code,pci
1995,01,-0.408662920817733
1996,01,-0.487464687476556
1997,01,-0.346050670991341
1998,01,-0.447965584695339
1999,01,-0.494125368573198
2000,01,-0.541765215496222
2001,01,-0.722323592752218
2002,01,-0.680754748483499
2003,01,-0.777073609332244
2004,01,-0.640407477815946
2005,01,-0.720252171158791
2006,01,-0.440576963126659
2007,01,-0.493370539198319
2008,01,-0.496401323005557
2009,01,-0.46492051333189
2010,01,-0.509200772891442
2011,01,-0.482586339116097
2012,01,-0.540095911671718
2013,01,-0.445438422262669
2014,01,-0.486713765189052
2015,01,-0.638086907565594
2016,01,-0.542233631635706
2017,01,-0.577496950825056
1995,02,0.0253505367785692
1996,02,-0.0247818827629089
1997,02,-0.0621639296412468
1998,02,-0.0812469318509102
1999,02,-0.268136538937688
2000,02,-0.0630061260424554
2001,02,0.0442090345546603
2002,02,0.0216762229800224
2003,02,0.0133662099018693
2004,02,0.0103868179023266
2005,02,-0.118443712592125
2006,02,-0.205388480424881
2007,02,-0.132812705636024
2008,02,0.00376801956444979
2009,02,-0.0636258030310273
2010,02,-0.110198307037354
2011,02,-0.121852080523968
2012,02,-0.0645771510899067
2013,02,-0.163855166733265
2014,02,-0.198860946297646
2015,02,-0.176317620277405
2016,02,-0.232406213134527
2017,02,-0.340736353397369
1995,03,-1.8609059708459
1996,03,-1.87584108965737
1997,03,-1.84436907087054
1998,03,-1.85452619620732
1999,03,-1.72093880176544
2000,03,-1.78832066059113
2001,03,-1.6593439749309
2002,03,-1.59620870862688
2003,03,-1.59869456291199
2004,03,-1.60559163774763
2005,03,-1.63742646149227
2006,03,-1.59589748723166
2007,03,-1.51161406721388
2008,03,-1.53258895874023
2009,03,-1.57432745184217
2010,03,-1.45647667135511
2011,03,-1.3738642505237
2012,03,-1.47528643267495
2013,03,-1.39948601382119
2014,03,-1.49336983476366
2015,03,-1.45027896336147
2016,03,-1.40915206500462
2017,03,-1.5285929952349
1995,04,0.0127871943637729
1996,04,-0.0117423824965954
1997,04,-0.054012356325984
1998,04,-0.0480843596160412
1999,04,-0.0622344046831131
2000,04,-0.100680609792471
2001,04,-0.0143613591790199
2002,04,-0.15209232494235
2003,04,-0.0997912473976612
2004,04,-0.0202502869069576
2005,04,-0.109108396060765
2006,04,-0.102911696769297
2007,04,-0.10068344771862
2008,04,-0.179729494103231
2009,04,-0.123851995915174
2010,04,-0.206279411911964
2011,04,-0.13233349788934
2012,04,-0.039846074488014
2013,04,-0.158560813963413
2014,04,-0.210739162564278
2015,04,-0.273921712487936
2016,04,-0.209208402037621
2017,04,-0.162860827893019
1995,05,-1.10323495756496
1996,05,-1.136831370267
1997,05,-1.13110573996197
1998,05,-1.10268102992665
1999,05,-1.10292313586582
2000,05,-1.00757785006003
2001,05,-1.1068322956562
2002,05,-0.902083491737192
2003,05,-0.983873567797921
2004,05,-0.841814614155076
2005,05,-1.05133424563841
2006,05,-0.969436585903168
2007,05,-0.962715768001296
2008,05,-0.947405605153604
2009,05,-1.0265503207391
2010,05,-0.806816598773003
2011,05,-0.867815601554784
2012,05,-0.865043290636756
2013,05,-0.598676090890711
2014,05,-0.747109255181964
2015,05,-0.559929974377155
2016,05,-0.566158274357969
2017,05,-0.682330870628357
1995,06,-0.971776649355888
1996,06,-1.1551823541522
1997,06,-1.00369317666627
1998,06,-1.19041611254215
1999,06,-1.11314284428954
2000,06,-1.18262341618538
2001,06,-1.10533369332552
2002,06,-1.0933460816741
2003,06,-1.1026253849268
2004,06,-1.15219194442034
2005,06,-1.21401435136795
2006,06,-1.12092722952366
2007,06,-1.33684159815311
2008,06,-1.27129742503166
2009,06,-1.18091535568237
2010,06,-1.06627997756004
2011,06,-0.975015595555305
2012,06,-0.971209287643433
2013,06,-1.14914651215076
2014,06,-1.1974438726902
2015,06,-1.11290094256401
2016,06,-0.860222399234772
2017,06,-1.05190326273441
1995,07,-0.941873696233545
1996,07,-0.979393089589264
1997,07,-1.05751158722809
1998,07,-1.25513229838439
1999,07,-1.11689753990088
2000,07,-1.20750932182584
2001,07,-1.19235418524061
2002,07,-1.18370507870402
2003,07,-1.08412808818477
2004,07,-1.13261239549943
2005,07,-1.1316914851112
2006,07,-1.15912525036505
2007,07,-1.13448528732572
2008,07,-1.1914503610959
2009,07,-1.15202076094491
2010,07,-1.1507492597614
2011,07,-1.26051243926798
2012,07,-1.19040064087936
2013,07,-1.20894280235682
2014,07,-1.30231377695288
2015,07,-1.23020237152066
2016,07,-1.52475609098162
2017,07,-1.38716337936265
1995,08,-1.09090841455119
1996,08,-1.19702641027314
1997,08,-1.1372584849596
1998,08,-1.25797936746052
1999,08,-1.2508538876261
2000,08,-1.22662148305348
2001,08,-1.19004389643669
2002,08,-1.23735709701266
2003,08,-1.15612300591809
2004,08,-1.24712911886828
2005,08,-1.15605185713087
2006,08,-1.21062627221857
2007,08,-1.12218419675316
2008,08,-1.17664246367557
2009,08,-1.1834057867527
2010,08,-1.23398745911462
2011,08,-1.28954529123647
2012,08,-1.28155700223786
2013,08,-1.24289698260171
2014,08,-1.34594419385706
2015,08,-1.33037339363779
2016,08,-1.56028886352267
2017,08,-1.43853435133185
1995,09,-1.86497259140015
1996,09,-1.91669472455978
1997,09,-1.83472100496292
1998,09,-1.80066702365875
1999,09,-1.71512751579285
2000,09,-1.76500129699707
2001,09,-1.64754776954651
2002,09,-1.74340019226074
2003,09,-1.8819473028183
2004,09,-1.68041077852249
2005,09,-1.77482753992081
2006,09,-1.7444636464119
2007,09,-1.62150760889053
2008,09,-1.69691982269287
2009,09,-1.51242936253548
2010,09,-1.51359186172485
2011,09,-1.56299841403961
2012,09,-1.62078087329865
2013,09,-1.67983796596527
2014,09,-1.70303210020065
2015,09,-1.58688839673996
2016,09,-1.61399011611938
2017,09,-1.64510840177536
1995,10,-0.442294426262379
1996,10,-0.621718686074019
1997,10,-0.724676849786192
1998,10,-0.441466944292188
1999,10,-0.662861060089199
2000,10,-0.583319311961532
2001,10,-0.649616210488603
2002,10,-0.711747439578176
2003,10,-0.488799650222063
2004,10,-0.73024901561439
2005,10,-0.712995222769678
2006,10,-0.75630809366703
2007,10,-0.623014152981341
2008,10,-0.866308778524399
2009,10,-0.593621912412345
2010,10,-0.621470851823688
2011,10,-0.560753863304853
2012,10,-0.637192329973914
2013,10,-0.689464221708477
2014,10,-0.740960507420823
2015,10,-0.669660330517218
2016,10,-0.528480032458901
2017,10,-0.578657874371857
1995,11,-0.381168233023749
1996,11,-0.351075086328718
1997,11,-0.476217700375451
1998,11,-0.452235851378646
1999,11,-0.330039869373043
2000,11,-0.485463042226103
2001,11,-0.467686800493134
2002,11,-0.504477711187469
2003,11,-0.588195863697264
2004,11,-0.687616950935788
2005,11,-0.659569720013274
2006,11,-0.609844650245375
2007,11,-0.571722754173809
2008,11,-0.685176201992565
2009,11,-0.608314165638553
2010,11,-0.56330404844549
2011,11,-0.608968134555552
2012,11,-0.551974798242251
2013,11,-0.616094160643924
2014,11,-0.677237487501568
2015,11,-0.637867034723361
2016,11,-0.549028897037109
2017,11,-0.439688204891152
1995,12,-0.972691055919443
1996,12,-1.0706092353378
1997,12,-1.06236926466227
1998,12,-0.927495225199631
1999,12,-0.993897457207952
2000,12,-1.08408318805907
2001,12,-1.03462298853057
2002,12,-0.932066652391638
2003,12,-1.0695728076888
2004,12,-1.11999007899846
2005,12,-1.09586517087051
2006,12,-1.11858321713018
2007,12,-1.15036188332098
2008,12,-1.15013532127653
2009,12,-1.08826066147802
2010,12,-1.06224451586604
2011,12,-1.14979115660701
2012,12,-1.04500035409416
2013,12,-1.20087990696941
2014,12,-1.15015541748809
2015,12,-1.07437441710915
2016,12,-1.20567755001996
2017,12,-1.11481564013021
1995,13,-1.57747846841812
1996,13,-1.66136199235916
1997,13,-1.57332575321198
1998,13,-1.43206882476807
1999,13,-1.38730770349503
2000,13,-1.38277944922447
2001,13,-1.41505765914917
2002,13,-1.22787213325501
2003,13,-1.28121200203896
2004,13,-1.4978811442852
2005,13,-1.45208352804184
2006,13,-1.35669556260109
2007,13,-1.51075059175491
2008,13,-1.36042040586472
2009,13,-1.41627398133278
2010,13,-1.446129322052
2011,13,-1.58549240231514
2012,13,-2.35195791721344
2013,13,-2.05839347839355
2014,13,-1.8126232624054
2015,13,-1.76678410172462
2016,13,-1.90419334173203
2017,13,-1.83856618404388
1995,14,-1.66544812917709
1996,14,-1.57307261228561
1997,14,-1.68026062846184
1998,14,-1.76121324300766
1999,14,-1.4531344473362
2000,14,-1.66319835186005
2001,14,-1.69266328215599
2002,14,-1.51077091693878
2003,14,-1.44792026281357
2004,14,-1.62073692679405
2005,14,-1.53836208581924
2006,14,-1.65345272421837
2007,14,-1.79377081990242
2008,14,-1.94475227594376
2009,14,-1.45659923553467
2010,14,-1.1719556748867
2011,14,-1.7587765455246
2012,14,-1.21381410956383
2013,14,-1.28940564021468
2014,14,-1.24530752003193
2015,14,-1.06778870771329
2016,14,-1.09396619598071
2017,14,-0.610974748929342
1995,15,-0.488582340455402
1996,15,-0.616506476886571
1997,15,-0.564267569644885
1998,15,-0.605796633457596
1999,15,-0.559668637473475
2000,15,-0.718951840292324
2001,15,-0.666956843977625
2002,15,-0.563419811596925
2003,15,-0.580597578463229
2004,15,-0.634548195045103
2005,15,-0.632200151512569
2006,15,-0.687629492276094
2007,15,-0.718976866115223
2008,15,-0.696878376670859
2009,15,-0.725135971199383
2010,15,-0.594783771137538
2011,15,-0.560117528519847
2012,15,-0.556057197803801
2013,15,-0.579335433684967
2014,15,-0.65817560441792
2015,15,-0.6209939526902
2016,15,-0.742549519647251
2017,15,-0.669769564812834
1995,16,-0.824859422445297
1996,16,-0.742030316591263
1997,16,-0.964576953649521
1998,16,-0.734415775537491
1999,16,-0.852412724494934
2000,16,-0.743361826986074
2001,16,-0.643055963516235
2002,16,-0.699707594513893
2003,16,-0.70027976334095
2004,16,-0.754003886179999
2005,16,-0.586930861510336
2006,16,-0.518356371670961
2007,16,-0.624394455552101
2008,16,-0.554877188801765
2009,16,-0.595151145756245
2010,16,-0.606151846051216
2011,16,-0.582240810990334
2012,16,-0.611063712090254
2013,16,-0.626010027527809
2014,16,-0.687237843871117
2015,16,-0.609204684197903
2016,16,-0.493495278432965
2017,16,-0.662840315699577
1995,17,-0.660308919847012
1996,17,-0.867153257131577
1997,17,-0.844617776572704
1998,17,-0.814106579869986
1999,17,-0.845580063760281
2000,17,-0.895115908235312
2001,17,-1.13721700012684
2002,17,-0.851165235042572
2003,17,-0.904619079083204
2004,17,-0.90112341567874
2005,17,-0.923506233841181
2006,17,-0.902926092036068
2007,17,-0.919248893857002
2008,17,-0.959027241915464
2009,17,-0.903053373098373
2010,17,-1.06043795123696
2011,17,-0.962073327973485
2012,17,-0.788131751120091
2013,17,-0.851843617856503
2014,17,-0.890604514628649
2015,17,-0.804276868700981
2016,17,-0.877340234816074
2017,17,-0.975725213997066
1995,18,-1.54675846298536
1996,18,-1.61480345328649
1997,18,-1.59352001547813
1998,18,-1.63289733727773
1999,18,-1.48453373710314
2000,18,-1.43097873528798
2001,18,-1.54421780755123
2002,18,-1.57660840948423
2003,18,-1.35207190116247
2004,18,-1.68736882756154
2005,18,-1.41672478926679
2006,18,-1.64348169540366
2007,18,-1.49482042094072
2008,18,-1.54055230816205
2009,18,-1.50158132612705
2010,18,-1.31290207058191
2011,18,-1.02393415818612
2012,18,-1.25941928476095
2013,18,-1.10039186974367
2014,18,-1.0289332245787
2015,18,-0.914634130895138
2016,18,-1.12010437871019
2017,18,-1.19772541771332
1995,19,-0.455411287769675
1996,19,-0.435185910016298
1997,19,-0.317812395095825
1998,19,-0.47790253162384
1999,19,-0.496756240725517
2000,19,-0.571605362743139
2001,19,-0.547783812880516
2002,19,-0.601767440140247
2003,19,-0.627980023622513
2004,19,-0.505507614975795
2005,19,-0.643277060985565
2006,19,-0.610683864355087
2007,19,-0.677070504426956
2008,19,-0.653127234429121
2009,19,-0.628909574449062
2010,19,-0.648958542570472
2011,19,-0.664773118495941
2012,19,-0.599484919011593
2013,19,-0.657491458207369
2014,19,-0.638538525998592
2015,19,-0.61003485918045
2016,19,-0.706753712892532
2017,19,-0.641344498097897
1995,20,-0.709281365076701
1996,20,-0.79780724313524
1997,20,-0.653477993276384
1998,20,-0.7139415451222
1999,20,-0.744346701436573
2000,20,-0.764886347783936
2001,20,-0.706241640779707
2002,20,-0.660239772664176
2003,20,-0.699963046444787
2004,20,-0.664822840028339
2005,20,-0.618620818273889
2006,20,-0.621974204977354
2007,20,-0.762527485688528
2008,20,-0.744811952941948
2009,20,-0.721914481785562
2010,20,-0.716343161132601
2011,20,-0.585455844799678
2012,20,-0.546535649233394
2013,20,-0.616864163014624
2014,20,-0.683017272916105
2015,20,-0.702895873950587
2016,20,-0.647309106257227
2017,20,-0.612202266024219
1995,21,-0.363988680144151
1996,21,-0.428942773491144
1997,21,-0.394787130256494
1998,21,-0.331378286083539
1999,21,-0.292518592129151
2000,21,-0.413735565030947
2001,21,-0.405984733253717
2002,21,-0.54140912865599
2003,21,-0.37205543431143
2004,21,-0.171280164892475
2005,21,-0.268841653130949
2006,21,-0.220669627189636
2007,21,-0.266561479928593
2008,21,-0.203925258480012
2009,21,-0.166780035166691
2010,21,-0.195850662887096
2011,21,-0.210270351419846
2012,21,-0.268029804031054
2013,21,-0.269655996312698
2014,21,-0.374553275605043
2015,21,-0.453926506607483
2016,21,-0.372430428862572
2017,21,-0.289261307567358
1995,22,-0.346942748460505
1996,22,-0.24970930069685
1997,22,-0.369787060552173
1998,22,-0.345680687369572
1999,22,-0.551270483268632
2000,22,-0.417863452600108
2001,22,-0.446454702566067
2002,22,-0.508335509027044
2003,22,-0.511530120339659
2004,22,-0.411248798171679
2005,22,-0.498696097069317
2006,22,-0.586438930696911
2007,22,-0.457275660501586
2008,22,-0.444209717628029
2009,22,-0.360439758747816
2010,22,-0.465013767961257
2011,22,-0.467105279366175
2012,22,-0.397153690457344
2013,22,-0.46909048077133
2014,22,-0.524881214627789
2015,22,-0.470502101712757
2016,22,-0.482234971597791
2017,22,-0.426600385664238
1995,23,-1.04685913274686
1996,23,-1.03601435489125
1997,23,-1.03513018786907
1998,23,-0.972202313443025
1999,23,-0.900703380505244
2000,23,-1.02292890515592
2001,23,-1.04919757942359
2002,23,-0.847370236698124
2003,23,-1.02089333865378
2004,23,-1.01732887327671
2005,23,-0.851824384596613
2006,23,-1.07670212454266
2007,23,-0.96388818240828
2008,23,-0.988161772489548
2009,23,-0.750521995955043
2010,23,-0.733873085843192
2011,23,-0.765706265966098
2012,23,-0.69457987199227
2013,23,-0.941704200373756
2014,23,-0.892256312900119
2015,23,-0.807865801784727
2016,23,-0.871782749891281
2017,23,-0.924074431260427
1995,24,-0.801572307323416
1996,24,-0.856628865003586
1997,24,-1.10757058858871
1998,24,-0.970035687088966
1999,24,-0.854149182637533
2000,24,-0.867990533510844
2001,24,-0.924038936694463
2002,24,-0.926685849825541
2003,24,-1.01305695374807
2004,24,-1.00278526544571
2005,24,-1.16221962372462
2006,24,-1.13213258981705
2007,24,-1.04435547192891
2008,24,-0.921009610096614
2009,24,-1.01390500863393
2010,24,-0.973430971304576
2011,24,-1.03220156828562
2012,24,-0.875660608212153
2013,24,-0.974186321099599
2014,24,-0.941824108362198
2015,24,-0.89418892065684
2016,24,-0.940336585044861
2017,24,-1.09254515171051
1995,25,-0.469070813053986
1996,25,-0.479483373121669
1997,25,-0.505621642060578
1998,25,-0.458276415492098
1999,25,-0.460605929341788
2000,25,-0.47395786413302
2001,25,-0.60552951010565
2002,25,-0.523080417748618
2003,25,-0.59060179417332
2004,25,-0.55486378322045
2005,25,-0.47880805482467
2006,25,-0.584965548415979
2007,25,-0.636040148014824
2008,25,-0.697802101807862
2009,25,-0.725873668132157
2010,25,-0.736615285277367
2011,25,-0.729413497550734
2012,25,-0.761647193853198
2013,25,-0.736085697494704
2014,25,-0.74571061361549
2015,25,-0.713725894239956
2016,25,-0.747865169244851
2017,25,-0.773138161877106
1995,26,-1.08931052773481
1996,26,-0.838726390685354
1997,26,-0.836441729018199
1998,26,-0.873512669776877
1999,26,-0.948811450529666
2000,26,-0.930422686040401
2001,26,-1.10651126716818
2002,26,-1.11532021775132
2003,26,-1.25004200105156
2004,26,-1.18915166883242
2005,26,-1.26645764832695
2006,26,-1.36670457110519
2007,26,-1.36554351165181
2008,26,-1.59717845065253
2009,26,-1.54485783158314
2010,26,-1.48039105570032
2011,26,-1.48438636036146
2012,26,-1.56442317437558
2013,26,-1.61795703392653
2014,26,-1.62213290447281
2015,26,-1.71153837584314
2016,26,-1.59089133285341
2017,26,-1.72900779589656
1995,27,-0.369487599964486
1996,27,-0.268356182146817
1997,27,-0.482210650807247
1998,27,-0.407048713415861
1999,27,-0.463659904431552
2000,27,-0.53199344035238
2001,27,-0.638566841284046
2002,27,-0.480029609287158
2003,27,-0.563902047462761
2004,27,-0.427699918160215
2005,27,-0.380442797788419
2006,27,-0.528446178883314
2007,27,-0.547876829805318
2008,27,-0.670552260009572
2009,27,-0.629083371721208
2010,27,-0.683297237148508
2011,27,-0.7975910352543
2012,27,-0.854584955610335
2013,27,-0.701223141048104
2014,27,-0.754069721791893
2015,27,-0.823684394359589
2016,27,-0.721885463222861
2017,27,-0.679806277621537
1995,28,0.271719920330261
1996,28,0.293138117867285
1997,28,0.30127894797125
1998,28,0.291188813728285
1999,28,0.334348402442593
2000,28,0.367350926878406
2001,28,0.244043946339219
2002,28,0.231489071339442
2003,28,0.233350882404849
2004,28,0.279362667493486
2005,28,0.370821992921479
2006,28,0.271848683628966
2007,28,0.223943383866629
2008,28,0.0704983325638608
2009,28,0.13851456439086
2010,28,0.0474019296029035
2011,28,0.0669370314891578
2012,28,0.0847902803627007
2013,28,0.0403754135922474
2014,28,0.0617877518091643
2015,28,0.122127325812756
2016,28,0.0753905943768355
2017,28,0.028719351097357
1995,29,0.840004422657547
1996,29,0.883846857185875
1997,29,1.00555871267404
1998,29,0.965607962848264
1999,29,0.963832169948589
2000,29,1.00018855885026
2001,29,1.07325724397032
2002,29,1.11022611796146
2003,29,1.01359549005117
2004,29,1.01406564066807
2005,29,0.955787075417382
2006,29,0.979389587151153
2007,29,0.987707798191834
2008,29,0.991161876845928
2009,29,1.00659393829604
2010,29,1.01764652434559
2011,29,0.944811521896294
2012,29,0.875023003933685
2013,29,0.987589534549486
2014,29,0.965800298377872
2015,29,0.915603595475356
2016,29,0.843376277679844
2017,29,0.825573585960748
1995,30,0.677821025252342
1996,30,0.641040965914726
1997,30,0.67482952028513
1998,30,0.889592091242472
1999,30,0.8375250796477
2000,30,0.715470696489016
2001,30,0.749562640984853
2002,30,0.804122924804688
2003,30,0.820292790730794
2004,30,0.96873044470946
2005,30,0.8008737017711
2006,30,0.84004578491052
2007,30,0.840066971878211
2008,30,0.898986056447029
2009,30,1.01421922445297
2010,30,0.836399724086126
2011,30,0.851897721489271
2012,30,0.750087967763344
2013,30,0.851002166668574
2014,30,0.770699544499318
2015,30,0.665526580065489
2016,30,0.777833084265391
2017,30,0.752343939617276
1995,31,-0.464517533034086
1996,31,-0.550778299570084
1997,31,-0.468793148268014
1998,31,-0.47122392654419
1999,31,-0.659581609070301
2000,31,-0.476714283227921
2001,31,-0.642596863210201
2002,31,-0.53133270740509
2003,31,-0.623877120018005
2004,31,-0.360961651802063
2005,31,-0.436037635803223
2006,31,-0.489483726024628
2007,31,-0.464622530527413
2008,31,-0.656719362735748
2009,31,-0.711119961738586
2010,31,-0.587477996945381
2011,31,-0.783618479967117
2012,31,-0.665398329496384
2013,31,-0.798282438516617
2014,31,-0.702210015058518
2015,31,-0.691546231508255
2016,31,-0.901478946208954
2017,31,-0.895926022529602
1995,32,0.447942620764176
1996,32,0.473157665381829
1997,32,0.508437267690897
1998,32,0.445780356725057
1999,32,0.540761975757778
2000,32,0.527718657130996
2001,32,0.434652423175673
2002,32,0.408580069430172
2003,32,0.42604238341252
2004,32,0.48123013873895
2005,32,0.389847440893451
2006,32,0.337931407491366
2007,32,0.481690783301989
2008,32,0.364136335564156
2009,32,0.412600913147132
2010,32,0.372439160446326
2011,32,0.410814002156258
2012,32,0.417763864497344
2013,32,0.401454384873311
2014,32,0.302383265892665
2015,32,0.335296904792388
2016,32,0.197841111943126
2017,32,0.253177767867843
1995,33,-0.120734721555242
1996,33,-0.15774426363974
1997,33,-0.0674237236380577
1998,33,-0.046151553945882
1999,33,-0.00902686268091202
2000,33,-0.174882186310632
2001,33,-0.129135325551033
2002,33,-0.150781174057296
2003,33,-0.151373454901789
2004,33,-0.00151691426123892
2005,33,0.0314909060086523
2006,33,0.0647550565855844
2007,33,0.0428979971579143
2008,33,0.0184525017227445
2009,33,0.00329815809215818
2010,33,0.108440294329609
2011,33,0.022233210504055
2012,33,-0.0314977743130709
2013,33,-0.00132445485464164
2014,33,0.019144808607442
2015,33,-0.0118005455005914
2016,33,0.00323615542479924
2017,33,-0.0976663721459252
1995,34,0.446151878903038
1996,34,0.366411508992314
1997,34,0.362540255766362
1998,34,0.289729104959406
1999,34,0.435541804181412
2000,34,0.400541054084897
2001,34,0.293783676810563
2002,34,0.280265349894762
2003,34,0.265102408826351
2004,34,0.356459397822619
2005,34,0.400129454210401
2006,34,0.403395818546414
2007,34,0.439254924654961
2008,34,0.341558511601761
