year,product_code,pci
2009,34,0.395953199826181
2010,34,0.409872571472079
2011,34,0.424821266904473
2012,34,0.301189279649407
2013,34,0.39194447780028
2014,34,0.313998783414718
2015,34,0.298344602808356
2016,34,0.403338517993689
2017,34,0.488482752814889
1995,35,0.622362191478411
1996,35,0.703738157947858
1997,35,0.63950819009915
1998,35,0.620975350340208
1999,35,0.754652013381322
2000,35,0.747025867303213
2001,35,0.750461911161741
2002,35,0.702398990591367
2003,35,0.922646631797155
2004,35,0.868103345235189
2005,35,0.858033905426661
2006,35,0.667349701126417
2007,35,0.62949833025535
2008,35,0.638697495063146
2009,35,0.55563726524512
2010,35,0.688774476448695
2011,35,0.682920490701993
2012,35,0.626107218364875
2013,35,0.530440376450618
2014,35,0.61753852913777
2015,35,0.706259018431107
2016,35,0.45558807750543
2017,35,0.471517585606004
1995,36,-0.248811580240726
1996,36,0.0682227561871211
1997,36,-0.0374136889974276
1998,36,-0.1024133314689
1999,36,-0.28572091460228
2000,36,-0.132589850574732
2001,36,-0.0414833376804988
2002,36,-0.204135288794835
2003,36,-0.0462350522478422
2004,36,-0.0378642827272415
2005,36,-0.239436785380046
2006,36,-0.0625444973508517
2007,36,-0.266977479060491
2008,36,-0.411687056223551
2009,36,-0.240659301479658
2010,36,-0.0769590213894844
2011,36,-0.10032664736112
2012,36,-0.242740752796332
2013,36,-0.395432233810425
2014,36,-0.389969965132574
2015,36,-0.573530954619249
2016,36,-0.170432046055794
2017,36,-0.178772660593192
1995,37,0.698710858821869
1996,37,1.02717100935323
1997,37,1.09132773668638
1998,37,1.0871727610273
1999,37,0.995378584201847
2000,37,1.03978366298335
2001,37,0.932229014379638
2002,37,0.964348723845822
2003,37,1.00198359148843
2004,37,1.0378398373723
2005,37,1.22051097239767
2006,37,0.975248060588326
2007,37,1.16740583947727
2008,37,1.0349994131497
2009,37,1.16467193833419
2010,37,1.0538860101785
2011,37,0.974005818367004
2012,37,1.17399411116328
2013,37,1.16938044769423
2014,37,1.09219791420868
2015,37,1.22526837246759
2016,37,1.21057208521026
2017,37,1.27777307374137
1995,38,0.807219579006019
1996,38,0.715704620856306
1997,38,0.74861564599585
1998,38,0.714748047980601
1999,38,0.89758487402097
2000,38,0.738915494521675
2001,38,0.806280504750169
2002,38,0.811626972083974
2003,38,0.843311550419616
2004,38,0.814394673737495
2005,38,0.775217717432458
2006,38,0.751353586821453
2007,38,0.730178912048755
2008,38,0.678880047539006
2009,38,0.731085531008632
2010,38,0.663566505293483
2011,38,0.65872894551443
2012,38,0.671162679143574
2013,38,0.746549575873043
2014,38,0.683494787420268
2015,38,0.68395001878557
2016,38,0.631863532992809
2017,38,0.647534952701434
1995,39,0.820690790334573
1996,39,0.80387327211121
1997,39,0.836255316264354
1998,39,0.727029614652006
1999,39,0.890252398756834
2000,39,0.821956112980843
2001,39,0.863714923222478
2002,39,0.883963412676866
2003,39,0.833732391492679
2004,39,0.804449837654829
2005,39,0.819942951202393
2006,39,0.732189979690772
2007,39,0.762615111011725
2008,39,0.738526940632325
2009,39,0.728063170439922
2010,39,0.721802521282091
2011,39,0.725199760009463
2012,39,0.721234619044341
2013,39,0.724740782322792
2014,39,0.733753346766417
2015,39,0.658177455314077
2016,39,0.733310948197658
2017,39,0.664951576063266
1995,40,-0.0167753952829277
1996,40,-0.0396168903064202
1997,40,-0.0273321684011642
1998,40,0.0489779448081904
1999,40,0.000636928694267922
2000,40,0.0420330911874771
2001,40,0.116319679162082
2002,40,-0.0183638066656011
2003,40,0.0232085409190725
2004,40,0.0877043657443103
2005,40,0.0500837560085689
2006,40,-0.0415983370998327
2007,40,-0.0288519425427212
2008,40,0.0829765683806994
2009,40,0.124883945373928
2010,40,0.0661388802177766
2011,40,0.143237717449665
2012,40,0.123165346243802
2013,40,0.0797591243377503
2014,40,0.144821398679222
2015,40,0.182994646841989
2016,40,0.0634869356804034
2017,40,0.17647113886607
1995,41,-1.25943598422137
1996,41,-1.26613464138725
1997,41,-1.10375092618845
1998,41,-1.07650397955017
1999,41,-1.13953201201829
2000,41,-1.06566014344042
2001,41,-1.12733865190636
2002,41,-1.08754596588286
2003,41,-1.10688950798728
2004,41,-1.14460263469002
2005,41,-1.16585877266797
2006,41,-1.19204252416437
2007,41,-1.23942742022601
2008,41,-1.25918392159722
2009,41,-1.11140449412844
2010,41,-1.35278699072925
2011,41,-1.33583111112768
2012,41,-1.2523267892274
2013,41,-1.22885976325382
2014,41,-1.30954414064234
2015,41,-1.26396822252057
2016,41,-1.14878600971265
2017,41,-1.39507758211006
1995,42,-0.657011460512877
1996,42,-0.66236457725366
1997,42,-0.744487279405197
1998,42,-0.802098284165064
1999,42,-0.737243965268135
2000,42,-0.621320024132729
2001,42,-0.532690994441509
2002,42,-0.428459820027153
2003,42,-0.514319320519765
2004,42,-0.379522917792201
2005,42,-0.252469490747899
2006,42,-0.168593895932039
2007,42,-0.307187875111898
2008,42,-0.201205963889758
2009,42,-0.145380624880393
2010,42,-0.213077629605929
2011,42,-0.134747008482615
2012,42,-0.355329692363739
2013,42,-0.273013286602994
2014,42,-0.380478459099929
2015,42,-0.178539395021896
2016,42,-0.066911851366361
2017,42,-0.0973737345387538
1995,43,-0.335848078131676
1996,43,-0.199694287031889
1997,43,-0.331538435071707
1998,43,-0.353961184620857
1999,43,-0.310327656567097
2000,43,-0.382756415754557
2001,43,-0.285392498597503
2002,43,-0.280138146132231
2003,43,-0.279322123620659
2004,43,-0.294292522594333
2005,43,-0.299422113224864
2006,43,-0.424632541835308
2007,43,-0.237466011894867
2008,43,-0.134334506234154
2009,43,-0.23371172323823
2010,43,-0.28976814635098
2011,43,-0.244478977750987
2012,43,-0.150588138028979
2013,43,0.0518344230949879
2014,43,-0.176829470321536
2015,43,-0.299126448109746
2016,43,-0.350315678864718
2017,43,-0.231092147529125
1995,44,-0.870646869852429
1996,44,-0.923347615947326
1997,44,-0.913693665748551
1998,44,-0.794946021267346
1999,44,-0.757539061563356
2000,44,-0.769527100381397
2001,44,-0.78483411811647
2002,44,-0.724994196955647
2003,44,-0.725214406138375
2004,44,-0.722526277814593
2005,44,-0.695615891899381
2006,44,-0.75390431718413
2007,44,-0.5815709946411
2008,44,-0.643811435926528
2009,44,-0.643740244387161
2010,44,-0.69106154729213
2011,44,-0.541645332062173
2012,44,-0.652363192112673
2013,44,-0.653611260865416
2014,44,-0.555107104798524
2015,44,-0.619763764242331
2016,44,-0.54980639119943
2017,44,-0.486171093458931
1995,45,-0.925425007939339
1996,45,-1.09597516059875
1997,45,-0.776959307491779
1998,45,-1.27219705283642
1999,45,-0.783204577863216
2000,45,-0.553357185795903
2001,45,-0.52958495169878
2002,45,-1.09927472472191
2003,45,-0.853581294417381
2004,45,-0.92213661968708
2005,45,-0.539932370185852
2006,45,-0.592627421021462
2007,45,-0.326048903167248
2008,45,-0.457677818834782
2009,45,-0.575963281095028
2010,45,-0.102974649518728
2011,45,-0.613578945398331
2012,45,-0.532884195446968
2013,45,-0.700118951499462
2014,45,-0.588614059612155
2015,45,-0.873009491711855
2016,45,-0.70689007639885
2017,45,-0.612689360976219
1995,46,-1.87004685401917
1996,46,-2.0846244096756
1997,46,-2.00881636142731
1998,46,-2.01808875799179
1999,46,-1.88946139812469
2000,46,-1.78826510906219
2001,46,-1.92940068244934
2002,46,-1.90605646371841
2003,46,-1.96982342004776
2004,46,-1.97771346569061
2005,46,-2.05574607849121
2006,46,-1.60380017757416
2007,46,-1.8347475528717
2008,46,-1.72784358263016
2009,46,-1.8973188996315
2010,46,-1.63595330715179
2011,46,-1.67861545085907
2012,46,-1.65073311328888
2013,46,-1.5288919210434
2014,46,-1.61973637342453
2015,46,-1.74387806653976
2016,46,-1.61776524782181
2017,46,-1.64421182870865
1995,47,0.185528426298073
1996,47,0.254760107823781
1997,47,0.401826852134296
1998,47,0.497218481131962
1999,47,0.409349682075637
2000,47,0.462622718087265
2001,47,0.347266113119466
2002,47,0.436735151202551
2003,47,0.405102980988366
2004,47,0.595196257744517
2005,47,0.533467322055783
2006,47,0.34418632622276
2007,47,0.369653574057988
2008,47,0.419727998652628
2009,47,0.30728503582733
2010,47,0.283751077950001
2011,47,0.308844462236656
2012,47,0.291463568806648
2013,47,0.380350640841893
2014,47,0.340178514165538
2015,47,0.310778263424124
2016,47,0.322453710911629
2017,47,0.353018096249018
1995,48,0.593933953539185
1996,48,0.583218181262846
1997,48,0.600166160451329
1998,48,0.533380907454083
1999,48,0.539939310239709
2000,48,0.503089925517207
2001,48,0.446210627484581
2002,48,0.581429901978244
2003,48,0.518344403340724
2004,48,0.416537686149873
2005,48,0.432341273651337
2006,48,0.430428184244944
2007,48,0.442701651350312
2008,48,0.481629530534796
2009,48,0.481055155396462
2010,48,0.392827147374982
2011,48,0.370678740675035
2012,48,0.29720136102127
2013,48,0.337742185948984
2014,48,0.43258284194314
2015,48,0.301446099158214
2016,48,0.383896018540406
2017,48,0.417749537236017
1995,49,0.622184111440385
1996,49,0.522055583921346
1997,49,0.497095481915907
1998,49,0.479421940378168
1999,49,0.397096376527439
2000,49,0.449640906669877
2001,49,0.34483863548799
2002,49,0.610989280722358
2003,49,0.580164459618655
2004,49,0.562017121098258
2005,49,0.526315569877625
2006,49,0.4513664083894
2007,49,0.303445790111172
2008,49,0.340638598935171
2009,49,0.366803010248325
2010,49,0.443336209028282
2011,49,0.356911223043095
2012,49,0.302588082172654
2013,49,0.368123908611861
2014,49,0.400753557004712
2015,49,0.428711581636559
2016,49,0.319688811898232
2017,49,0.408823285590519
1995,50,-0.603543049522809
1996,50,-0.913922441857202
1997,50,-0.899059150634067
1998,50,-0.851212216275079
1999,50,-1.05835779224123
2000,50,-1.27173387152808
2001,50,-0.960259565285274
2002,50,-0.837458868644067
2003,50,-0.909938743071897
2004,50,-0.979059665330819
2005,50,-0.831889525055885
2006,50,-0.745249575802258
2007,50,-0.611745470336505
2008,50,-0.415827359472002
2009,50,-0.520090013742447
2010,50,-0.859723900843944
2011,50,-0.783390109028135
2012,50,-0.325368287573968
2013,50,-0.446479167257036
2014,50,-0.541171614612852
2015,50,-0.327849477529526
2016,50,-0.093814526285444
2017,50,-0.346462139061519
1995,51,-0.11074032383756
1996,51,-0.225407781580893
1997,51,-0.141909337674196
1998,51,-0.214644929179205
1999,51,-0.304563967940899
2000,51,-0.454367997841193
2001,51,-0.353908564035709
2002,51,-0.456192931303611
2003,51,-0.366032476930951
2004,51,-0.29511296749115
2005,51,-0.40462027834012
2006,51,-0.438677142732418
2007,51,-0.438555158101595
2008,51,-0.343112852567664
2009,51,-0.504303273100119
2010,51,-0.370090540785056
2011,51,-0.482310232061606
2012,51,-0.427882559597492
2013,51,-0.521257420571951
2014,51,-0.314610172349673
2015,51,-0.409663880817019
2016,51,-0.415072580369619
2017,51,-0.268490518514927
1995,52,-1.07041274135311
1996,52,-1.04850345291197
1997,52,-1.28764419257641
1998,52,-1.34117625653744
1999,52,-1.41543736557166
2000,52,-1.33141726255417
2001,52,-1.33741108576457
2002,52,-1.34757964809736
2003,52,-1.18753634641568
2004,52,-1.313565214475
2005,52,-1.42533132433891
2006,52,-1.32183446486791
2007,52,-1.31361885120471
2008,52,-1.23574776947498
2009,52,-1.2700360318025
2010,52,-1.36389533927043
2011,52,-1.35187874486049
2012,52,-1.33354949454467
2013,52,-1.35083207984765
2014,52,-1.25505088269711
2015,52,-1.24066539357106
2016,52,-1.181962740918
2017,52,-1.23792975644271
1995,53,-1.03990809958089
1996,53,-1.0831693796949
1997,53,-1.07941329614683
1998,53,-1.02308616194535
1999,53,-1.0567621961236
2000,53,-1.14012242989107
2001,53,-1.12962498989972
2002,53,-1.37181992286986
2003,53,-0.984758670378307
2004,53,-1.15686255828901
2005,53,-1.17647341842001
2006,53,-1.08699954910712
2007,53,-1.19757570800456
2008,53,-1.00290138342164
2009,53,-1.33982239435004
2010,53,-1.3364059173248
2011,53,-1.15865342589942
2012,53,-1.10673563927412
2013,53,-1.00489063967358
2014,53,-0.930564763172614
2015,53,-0.94624553066255
2016,53,-1.2048778466203
2017,53,-0.7792564637959
1995,54,-0.0234876574832015
1996,54,0.0402650153264403
1997,54,-0.056930523365736
1998,54,0.011139111360535
1999,54,0.139026483520865
2000,54,0.224181344266981
2001,54,0.142744236625731
2002,54,0.187349471729249
2003,54,0.142736880108714
2004,54,0.190436441916972
2005,54,0.107396185398102
2006,54,0.104241151129827
2007,54,0.217481488361955
2008,54,0.0699172811582685
2009,54,-0.0208156751468778
2010,54,0.0120251588523388
2011,54,0.0326510085724294
2012,54,-0.0111359218135476
2013,54,0.139047657139599
2014,54,0.208577623590827
2015,54,0.243647074559703
2016,54,0.0387450037524104
2017,54,-0.0217114798724651
1995,55,-0.103868661390152
1996,55,-0.154147455410566
1997,55,-0.150545516284183
1998,55,-0.152224311605096
1999,55,-0.181516505777836
2000,55,-0.130275774630718
2001,55,-0.131019446998835
2002,55,-0.142930211382918
2003,55,-0.184798428730574
2004,55,-0.27319755917415
2005,55,-0.184798293514177
2006,55,-0.253213725052774
2007,55,-0.244314080111508
2008,55,-0.131821825634688
2009,55,-0.247584477765486
2010,55,-0.327822169638239
2011,55,-0.20789808453992
2012,55,-0.110847448930144
2013,55,-0.15170373206638
2014,55,-0.113676030764509
2015,55,-0.14554231800139
2016,55,-0.207578680943698
2017,55,-0.157290724280756
1995,56,0.156781204872661
1996,56,0.0893293900622262
1997,56,-0.147708521121078
1998,56,-0.00696479839583238
1999,56,0.148111867407958
2000,56,0.077075782749388
2001,56,0.0719930446810193
2002,56,0.0266589042213228
2003,56,-0.0489935113324059
2004,56,-0.118983245558209
2005,56,-0.0458528945843379
2006,56,-0.0120186408360799
2007,56,-0.0183370063702265
2008,56,0.0427788856128852
2009,56,0.0121560328536563
2010,56,0.0203354383508364
2011,56,0.0796962049272325
2012,56,0.114953578346305
2013,56,0.226816763480504
2014,56,0.154319763183594
2015,56,0.0956092158125506
2016,56,0.154196170469125
2017,56,0.226884206136068
1995,57,-0.490097123384476
1996,57,-0.495429480075836
1997,57,-0.34599584043026
1998,57,-0.514399895071983
1999,57,-0.404268785566092
2000,57,-0.456037026643753
2001,57,-0.512870025075972
2002,57,-0.529324947856367
2003,57,-0.593967419862747
2004,57,-0.443579255416989
2005,57,-0.455554106831551
2006,57,-0.363543324172497
2007,57,-0.292120623588562
2008,57,-0.430029320716858
2009,57,-0.348883306980133
2010,57,-0.40228066444397
2011,57,-0.609488807618618
2012,57,-0.585402435902506
2013,57,-0.420209485292435
2014,57,-0.314134109020233
2015,57,-0.278514325618744
2016,57,-0.33161906003952
2017,57,-0.444272726774216
1995,58,-0.134105034172535
1996,58,-0.168048398061232
1997,58,-0.357777954502539
1998,58,-0.386105131696571
1999,58,-0.501712893220511
2000,58,-0.312681191008199
2001,58,-0.376796337013895
2002,58,-0.367803500457244
2003,58,-0.380855123427781
2004,58,-0.538701845671643
2005,58,-0.498639239506288
2006,58,-0.42520544948903
2007,58,-0.458623746579344
2008,58,-0.261384421959519
2009,58,-0.361624100499532
2010,58,-0.582785749977285
2011,58,-0.334010118787939
2012,58,-0.376838402610949
2013,58,-0.448196907115
2014,58,-0.298926267966057
2015,58,-0.323500169017776
2016,58,-0.396335097876462
2017,58,-0.28691326352683
1995,59,0.631344119256193
1996,59,0.676756085319953
1997,59,0.493917226791382
1998,59,0.816690274260261
1999,59,0.774557133289901
2000,59,0.65558404170654
2001,59,0.726262971081517
2002,59,0.56836580180309
2003,59,0.707815607840365
2004,59,0.706858086145737
2005,59,0.611596851186319
2006,59,0.581938434730877
2007,59,0.712202440608631
2008,59,0.822557371109724
2009,59,0.740203462541103
2010,59,0.632416311990131
2011,59,0.703509668057615
2012,59,0.614605816927823
2013,59,0.74630817770958
2014,59,0.714037343859673
2015,59,0.540038362145424
2016,59,0.490007443861528
2017,59,0.630479114976796
1995,60,-0.413531422615051
1996,60,-0.451475322246552
1997,60,-0.414692029356957
1998,60,-0.498767182230949
1999,60,-0.753659993410111
2000,60,-0.593003809452057
2001,60,-0.781004667282105
2002,60,-0.627871185541153
2003,60,-0.680895477533341
2004,60,-0.487426355481148
2005,60,-0.417848393321037
2006,60,-0.435337126255035
2007,60,-0.544842600822449
2008,60,-0.654213696718216
2009,60,-0.721500068902969
2010,60,-0.639091998338699
2011,60,-0.596678823232651
2012,60,-0.328433364629746
2013,60,-0.439746305346489
2014,60,-0.234009969048202
2015,60,-0.395891115069389
2016,60,-0.198958594352007
2017,60,-0.0330242216587067
1995,61,-1.47410763011259
1996,61,-1.45037115672055
1997,61,-1.50998236852534
1998,61,-1.58521157503128
1999,61,-1.63861627438489
2000,61,-1.60410601601881
2001,61,-1.52925293585833
2002,61,-1.6022602985887
2003,61,-1.48821877381381
2004,61,-1.58527376371271
2005,61,-1.55688563164543
2006,61,-1.36103752430748
2007,61,-1.34426322053461
2008,61,-1.18303418860716
2009,61,-1.34331711951424
2010,61,-1.31653442978859
2011,61,-1.37941631674767
2012,61,-1.31595831758836
2013,61,-1.35091197490692
2014,61,-1.26039073397132
2015,61,-1.27307011450038
2016,61,-1.28509222058689
2017,61,-1.24653756969115
1995,62,-1.3987516375149
1996,62,-1.3737757451394
1997,62,-1.33968993846108
1998,62,-1.42294786256902
1999,62,-1.42437438403859
2000,62,-1.41369926228243
2001,62,-1.33512710604598
2002,62,-1.39658367283204
2003,62,-1.28170983405674
2004,62,-1.31148723994984
2005,62,-1.27513828698327
2006,62,-1.13082125958274
2007,62,-1.04333005144316
2008,62,-0.980667184380924
2009,62,-1.03382639893714
2010,62,-1.05598181442303
2011,62,-1.10809461421826
2012,62,-1.07186205115388
2013,62,-1.09077221418128
2014,62,-1.04729447119376
2015,62,-1.06679760883836
2016,62,-1.08368081730955
2017,62,-1.12848909286892
1995,63,-0.902681291103363
1996,63,-0.822032272815704
1997,63,-0.911700820922852
1998,63,-0.8025793582201
1999,63,-0.994487477838993
2000,63,-0.945910787582397
2001,63,-0.837400384992361
2002,63,-0.974624923616648
2003,63,-0.954393628239632
2004,63,-1.01084533631802
2005,63,-1.10772408246994
2006,63,-0.992635893821716
2007,63,-1.07660778164864
2008,63,-0.913370683789253
2009,63,-0.898825198411942
2010,63,-0.878552994132042
2011,63,-0.922148221731186
2012,63,-0.943671318888664
2013,63,-0.91238004565239
2014,63,-0.974240523576736
2015,63,-0.889958973228931
2016,63,-0.833238865435123
2017,63,-0.80777321010828
1995,64,-0.801711837450663
1996,64,-0.822194397449493
1997,64,-0.931313802798589
1998,64,-1.01038194696109
1999,64,-0.996993571519852
2000,64,-0.96125982205073
2001,64,-1.03076650202274
2002,64,-0.958534489075343
2003,64,-0.959624928732713
2004,64,-0.956622771918774
2005,64,-0.928240972260634
2006,64,-0.80584683517615
2007,64,-0.851008673508962
2008,64,-0.704371740420659
2009,64,-0.681562587618828
2010,64,-0.734820425510407
2011,64,-0.798601726690928
2012,64,-0.753131419420242
2013,64,-0.813831845919291
2014,64,-0.807762831449509
2015,64,-0.868699242671331
2016,64,-0.938441236813863
2017,64,-0.767211655775706
1995,65,-0.883989399032933
1996,65,-0.850955692785127
1997,65,-0.79738665212478
1998,65,-0.832857471092471
1999,65,-0.887529237994126
2000,65,-0.956843866833619
2001,65,-0.982424889292036
2002,65,-0.815748057195119
2003,65,-0.85026009700128
2004,65,-1.00133303446429
2005,65,-0.860251373478345
2006,65,-0.757159450224468
2007,65,-0.831502211945398
2008,65,-0.829443976283073
2009,65,-0.906968844788415
2010,65,-0.657938017376832
2011,65,-0.711311329688345
2012,65,-0.969671134437833
2013,65,-0.775884428194591
2014,65,-0.613483653304034
2015,65,-0.928747981786728
2016,65,-0.718269707368953
2017,65,-0.424051063401358
1995,66,-0.41570379336675
1996,66,-0.217360408666233
1997,66,-0.52721240123113
1998,66,-0.4957638134559
1999,66,0.00124324858188629
2000,66,-0.125015277415514
2001,66,-0.116687620679537
2002,66,0.0440928315122922
2003,66,0.141637740035852
2004,66,-0.0510480577747027
2005,66,-0.0669745827714602
2006,66,-0.104773762325446
2007,66,0.124418063710133
2008,66,0.553813387950262
2009,66,0.356701552867889
2010,66,-0.109465346982082
2011,66,0.00476627300182978
2012,66,0.00138648847738902
2013,66,0.056109386185805
2014,66,0.246195192138354
2015,66,-0.0514681600034237
2016,66,0.256269166866938
2017,66,0.340734337766965
1995,67,-1.38416618108749
1996,67,-1.15332965552807
1997,67,-1.09036704152823
1998,67,-1.03954789042473
1999,67,-1.1346502751112
2000,67,-1.32814079523087
2001,67,-1.1132934242487
2002,67,-1.09279964864254
2003,67,-0.981643587350845
2004,67,-0.940229088068008
2005,67,-0.900582008063793
2006,67,-0.730738557875156
2007,67,-0.857764326035976
2008,67,-0.83208879083395
2009,67,-0.724653566256166
2010,67,-0.930269666016102
2011,67,-1.086380623281
2012,67,-1.06845055520535
2013,67,-0.867911666631699
2014,67,-0.910591367632151
2015,67,-1.16992042958736
2016,67,-1.12042996007949
2017,67,-1.06951150298119
1995,68,0.40283165127039
1996,68,0.397621211409569
1997,68,0.357392878085375
1998,68,0.428270040079951
1999,68,0.474627270301183
2000,68,0.392051767309507
2001,68,0.331730080892642
2002,68,0.356762793660164
